Color,Size,Flavor,Packaging Type,Quantity
8,1,3,Bag,19904.0
4,3,10,Bag,19816.0
7,4,12,Bag,19728.0
36,1,8,Bag,18767.0
28,2,10,Bag,16534.0
4,3,7,Bag,16374.0
37,3,7,Bag,16035.0
9,3,6,Bag,15529.0
35,2,10,Bag,15434.0
3,4,9,Bag,15297.0
38,3,9,Bag,14731.0
4,1,10,Bag,14590.0
16,1,11,Bag,14511.0
15,3,12,Bag,14438.0
38,2,2,Bag,14427.0
18,3,3,Bag,13857.0
28,5,9,Bag,13743.0
15,5,7,Bag,13713.0
7,5,8,Bag,13622.0
18,4,7,Bag,13553.0
19,4,10,Bag,13539.0
39,2,11,Bag,13222.0
13,2,9,Bag,13009.0
32,3,3,Bag,12926.0
4,1,9,Bag,12795.0
25,5,7,Bag,12790.0
13,5,7,Bag,12723.0
21,4,12,Bag,12669.0
6,3,9,Bag,12572.0
14,5,8,Bag,12443.0
39,4,4,Bag,12388.0
22,1,3,Bag,12327.0
9,3,8,Bag,12258.849999999984
3,2,9,Bag,12105.0
4,1,12,Bag,12030.0
7,1,7,Bag,12018.0
38,4,10,Bag,11999.0
10,4,7,Bag,11907.0
28,1,8,Bag,11811.0
21,3,9,Bag,11763.0
28,1,7,Bag,11734.0
23,1,7,Bag,11653.0
38,4,11,Bag,11650.0
18,4,8,Bag,11573.0
7,3,5,Bag,11488.0
36,2,10,Bag,11387.0
22,4,8,Bag,11326.0
39,3,8,Bag,11273.0
39,1,7,Bag,11094.0
38,1,7,Bag,11052.0
8,2,1,Bag,10982.0
21,2,10,Bag,10978.0
12,1,8,Bag,10970.0
8,5,8,Bag,10961.0
38,4,12,Bag,10954.0
33,1,7,Bag,10842.0
39,1,8,Bag,10808.0
6,2,10,Bag,10803.0
13,3,8,Bag,10703.0
6,4,6,Bag,10700.0
6,5,6,Bag,10584.0
7,3,10,Bag,10544.0
7,1,6,Bag,10296.0
24,4,10,Bag,10281.0
12,5,9,Bag,10218.0
18,5,9,Bag,10051.0
22,4,10,Bag,10050.0
36,2,9,Bag,9976.0
20,4,7,Bag,9905.661304347828
36,4,9,Bag,9892.0
20,5,5,Bag,9892.0
38,2,6,Bag,9889.0
8,4,8,Bag,9886.0
22,5,7,Bag,9871.0
18,1,8,Bag,9814.0
7,2,8,Bag,9770.0
39,5,6,Bag,9733.57407407408
19,3,10,Bag,9716.0
38,3,11,Bag,9643.0
35,4,7,Bag,9605.0
8,5,11,Bag,9602.0
22,3,9,Bag,9566.0
33,1,8,Bag,9514.0
7,2,12,Bag,9479.0
22,1,2,Bag,9456.0
22,2,7,Bag,9435.0
32,1,4,Bag,9426.0
7,2,11,Bag,9391.0
19,4,8,Bag,9365.0
16,5,8,Bag,9356.076923076922
32,2,7,Bag,9236.0
6,5,11,Bag,9233.0
10,1,10,Bag,9230.0
35,4,5,Bag,9205.0
15,5,8,Bag,9195.0
3,2,10,Bag,9179.0
39,2,3,Bag,9141.0
32,5,6,Bag,9136.0
25,5,8,Bag,9134.0
14,5,7,Bag,9079.0
3,3,7,Bag,9027.0
20,3,8,Bag,8996.0
10,1,9,Bag,8990.0
4,2,7,Bag,8958.0
28,4,6,Bag,8935.0
19,5,11,Bag,8929.0
6,1,11,Bag,8868.0
6,3,2,Bag,8843.0
16,5,12,Bag,8831.0
18,1,6,Bag,8722.0
39,4,9,Bag,8681.0
7,4,8,Bag,8676.0
7,4,11,Bag,8627.0
8,3,5,Bag,8581.5
22,5,8,Bag,8566.0
18,1,3,Bag,8551.0
24,3,5,Bag,8527.5
37,2,9,Bag,8458.0
39,1,11,Bag,8424.0
12,5,8,Bag,8399.0
20,3,7,Bag,8385.940869565216
33,4,4,Bag,8339.813063063055
28,3,3,Bag,8338.75
9,1,6,Bag,8270.0
4,4,12,Bag,8263.0
33,1,5,Bag,8245.0
21,4,10,Bag,8199.0
22,2,8,Bag,8187.600000000006
15,4,8,Bag,8170.0
19,4,7,Bag,8158.5
8,2,12,Bag,8124.0
