Color,Size,Flavor,Packaging Type,Quantity
7,1,11,Bag,16516.0
32,2,11,Bag,16183.5
37,2,11,Bag,14694.0
10,3,12,Bag,13717.0
32,4,5,Bag,12282.0
23,4,11,Bag,11989.5
13,2,11,Bag,11986.0
32,2,10,Bag,11849.0
20,1,8,Bag,11648.0
9,3,10,Bag,11363.0
23,5,7,Bag,11258.0
24,3,11,Bag,11103.500000000004
20,4,9,Bag,11050.0
13,3,9,Bag,10914.0
37,1,8,Bag,10871.0
32,2,9,Bag,10795.0
33,3,10,Bag,10146.0
24,5,10,Bag,10122.0
32,3,5,Bag,10024.0
24,3,10,Bag,9758.379999999997
23,4,10,Bag,9663.0
23,2,5,Bag,9583.0
39,3,10,Bag,9517.38888888889
23,1,10,Bag,9503.0
37,4,10,Bag,9461.0
20,5,10,Bag,9382.099999999999
33,1,9,Bag,9250.0
13,4,12,Bag,9148.0
33,3,11,Bag,9028.0
3,2,11,Bag,8022.0
20,3,11,Bag,8001.0
37,5,9,Bag,7815.0
23,2,3,Bag,7748.979999999989
22,3,10,Bag,7654.0
23,5,10,Bag,7453.0
22,2,9,Bag,7201.0
4,2,10,Bag,7146.0
10,1,11,Bag,7104.700000000004
13,5,10,Bag,7091.189999999995
3,5,12,Bag,7050.5
20,1,9,Bag,7000.0
32,3,9,Bag,6979.499999999985
9,5,9,Bag,6963.100000000006
20,4,8,Bag,6857.770000000004
24,2,11,Bag,6789.0
38,1,10,Bag,6776.0
22,5,12,Bag,6776.0
32,4,7,Bag,6763.0
36,3,8,Bag,6686.199999999997
23,4,9,Bag,6650.0
36,2,11,Bag,6525.28
13,2,10,Bag,6496.0
10,3,10,Bag,6371.0
20,2,9,Bag,6298.0
9,3,9,Bag,6249.0
23,5,8,Bag,6183.0
10,5,10,Bag,6166.009999999995
23,3,10,Bag,6117.0
9,1,11,Bag,6083.0
37,4,8,Bag,6079.199999999997
23,3,4,Bag,6065.0
3,4,11,Bag,5974.1
32,3,6,Bag,5924.0
22,5,10,Bag,5861.0
13,5,11,Bag,5858.0
32,1,11,Bag,5759.000000000004
9,2,11,Bag,5721.0
22,5,11,Bag,5660.0
18,4,11,Bag,5571.0
37,3,10,Bag,5516.0
13,3,10,Bag,5499.0
33,4,10,Bag,5476.0
10,5,12,Bag,5461.500000000007
9,2,12,Bag,5461.0
37,5,10,Bag,5412.0
10,4,9,Bag,5383.0
10,1,12,Bag,5360.0
10,2,10,Bag,5352.0
33,1,10,Bag,5284.0
32,5,9,Bag,5253.0
10,5,11,Bag,5107.0
23,2,7,Bag,5091.0
13,1,11,Bag,5048.0
24,5,8,Bag,4952.100000000006
20,2,10,Bag,4705.000000000004
24,5,11,Bag,4635.0
7,1,12,Bag,4606.0
9,5,10,Bag,4475.0
3,2,12,Bag,4467.74
36,5,10,Bag,4431.0
10,2,12,Bag,4224.0
10,4,11,Bag,4220.0
4,3,12,Bag,4173.421052631573
32,1,8,Bag,4159.559999999998
24,2,12,Bag,4114.0
32,3,4,Bag,4066.2600000000166
32,3,8,Bag,3933.0
10,4,12,Bag,3924.0
23,2,9,Bag,3905.0000000000146
3,4,10,Bag,3888.0
36,1,12,Bag,3884.999999999998
10,3,11,Bag,3852.0
7,5,11,Bag,3746.0
23,3,7,Bag,3744.0
22,3,11,Bag,3705.0
10,2,11,Bag,3598.0
32,5,10,Bag,3596.000000000002
22,3,12,Bag,3566.0
38,1,9,Bag,3469.9000000000015
9,3,8,Bag,3458.150000000016
32,4,6,Bag,3425.0
23,2,8,Bag,3420.0
13,1,12,Bag,3371.0
20,2,8,Bag,3335.0
23,2,6,Bag,3307.0
23,1,12,Bag,3278.0
9,1,10,Bag,3213.330000000009
36,3,9,Bag,2941.5000000000036
23,3,5,Bag,2888.0
23,1,9,Bag,2820.760000000002
20,2,7,Bag,2622.729999999996
32,3,7,Bag,2613.0
13,3,11,Bag,2607.5
23,3,6,Bag,2559.0
9,5,11,Bag,2534.0
37,1,9,Bag,2528.0
22,2,10,Bag,2520.0
33,1,11,Bag,2344.0
36,5,9,Bag,2300.0
36,1,11,Bag,2256.4400000000023
36,4,11,Bag,2019.500000000001
23,1,11,Bag,2006.0
20,4,10,Bag,1854.4999999999964
24,5,9,Bag,1852.0
22,5,9,Bag,1832.0600000000013
37,1,7,Bag,1830.8999999999942
39,3,11,Bag,1824.9111111111106
23,5,9,Bag,1772.0
23,2,4,Bag,1736.0
12,5,10,Bag,1690.999999999996
22,2,8,Bag,1659.3999999999942
13,5,12,Bag,1652.0000000000036
38,1,11,Bag,1652.0
10,4,10,Bag,1623.0
32,4,9,Bag,1557.0
4,2,9,Bag,1515.5
37,3,11,Bag,1512.999999999991
4,2,11,Bag,1489.0
25,3,10,Bag,1471.6000000000001
7,5,10,Bag,1456.0
7,5,9,Bag,1378.0
32,1,9,Bag,1377.0
37,1,10,Bag,1212.0
36,4,10,Bag,1198.2799999999988
37,5,11,Bag,1114.0
23,3,8,Bag,1066.0
37,5,8,Bag,1032.0
25,5,11,Bag,1018.8000000000001
4,2,12,Bag,1002.880000000001
33,4,11,Bag,989.1169369369454
32,4,10,Bag,818.0
24,2,9,Bag,717.5217391304395
18,2,11,Bag,636.9615384615317
37,1,11,Bag,633.0000000000073
20,1,10,Bag,597.0
37,5,7,Bag,550.100000000004
36,5,8,Bag,517.3000000000029
18,2,12,Bag,386.91846153846836
13,1,10,Bag,371.0
32,5,8,Bag,313.09999999999854
20,3,12,Bag,285.0
33,4,9,Bag,265.31306306305487
9,5,12,Bag,171.99999999999454
33,4,9,Box,9122.5
9,1,11,Box,9090.999999999993
9,2,12,Box,8720.0
32,3,7,Box,8300.0
33,4,10,Box,7945.0
33,1,8,Box,7369.869999999995
23,2,4,Box,6445.0
32,5,8,Box,6397.5
10,4,10,Box,6320.0
32,4,4,Box,6116.120000000003
7,5,8,Box,5698.0
20,4,8,Box,5485.0
10,2,11,Box,5447.5
20,3,10,Box,5414.68
23,3,5,Box,5097.5
10,5,11,Box,4955.0
13,2,11,Box,4947.499999999993
37,3,9,Box,4938.900000000009
18,2,11,Box,4767.5
23,5,9,Box,4730.0
22,2,8,Box,4710.0
7,5,10,Box,4647.5
37,4,8,Box,4615.0
10,2,12,Box,4472.5
37,3,10,Box,4382.5
32,3,4,Box,4287.5
23,3,8,Box,4272.5
13,4,11,Box,4210.5
20,3,11,Box,4137.5
4,2,9,Box,4080.0
10,1,12,Box,4010.0
10,4,9,Box,3870.0
23,2,3,Box,3750.0
13,1,10,Box,3707.5
32,1,10,Box,3555.0
33,1,10,Box,3485.0
7,5,11,Box,3479.5
13,1,11,Box,3332.5
36,4,10,Box,3307.5
23,5,7,Box,3122.5
7,1,11,Box,3117.5
24,2,12,Box,3090.0
20,2,7,Box,3090.0
37,4,9,Box,3022.5
13,3,9,Box,2837.5
7,1,10,Box,2836.9736842105267
24,5,8,Box,2830.0
23,3,4,Box,2767.5
23,5,6,Box,2756.5599999999977
9,2,11,Box,2742.5
37,5,8,Box,2715.0
37,5,7,Box,2647.5
4,2,11,Box,2625.0
22,3,12,Box,2619.2367567567526
10,3,12,Box,2565.0
10,3,11,Box,2552.5
22,5,11,Box,2482.5
13,3,8,Box,2474.6399999999994
3,4,10,Box,2372.5
37,1,9,Box,2290.0
32,1,9,Box,2265.0
23,3,7,Box,2187.5
13,2,10,Box,2182.5
10,1,11,Box,2140.0
23,1,9,Box,2130.0
24,2,10,Box,2127.5
13,5,11,Box,2127.5
32,3,5,Box,2107.5
37,1,7,Box,2095.0
23,3,9,Box,2020.0
10,3,9,Box,1967.0
37,5,9,Box,1950.0
10,5,10,Box,1937.5
33,1,11,Box,1920.0
36,3,8,Box,1887.5
24,2,11,Box,1870.0
33,3,9,Box,1828.6351351351332
7,1,12,Box,1685.0
22,3,9,Box,1589.243243243247
32,2,10,Box,1540.0
20,4,9,Box,1510.0
20,2,8,Box,1492.5
