Color,Size,Flavor,Packaging Type,Quantity
34,2,10,Bag,19518.0
1,3,5,Bag,17742.0
27,1,10,Bag,16948.0
14,5,11,Bag,16406.61
11,5,11,Bag,16257.0
34,4,7,Bag,15687.0
27,4,5,Bag,15519.0
26,5,10,Bag,15376.0
29,4,7,Bag,14813.0
26,3,7,Bag,14523.0
6,4,12,Bag,14518.999999999996
26,2,12,Bag,14426.0
2,3,10,Bag,13893.0
17,3,9,Bag,13655.0
2,5,9,Bag,13576.0
26,4,8,Bag,13543.0
31,1,10,Bag,13180.0
2,4,10,Bag,13119.0
31,5,5,Bag,12972.0
30,5,4,Bag,12935.0
5,3,5,Bag,12935.0
34,1,6,Bag,12886.0
29,3,8,Bag,12662.0
17,3,10,Bag,12643.0
31,1,4,Bag,12443.0
2,5,8,Bag,12443.0
11,3,9,Bag,12405.0
15,5,10,Bag,12316.0
29,5,6,Bag,12229.0
29,5,3,Bag,12139.369642857146
2,1,8,Bag,12124.0
1,2,5,Bag,12059.0
26,1,5,Bag,11900.0
34,4,12,Bag,11682.0
2,3,2,Bag,11592.428571428565
26,5,11,Bag,11589.0
30,4,10,Bag,11573.0
26,5,4,Bag,11458.0
29,2,12,Bag,11456.0
5,1,11,Bag,11419.0
1,1,6,Bag,11396.0
2,3,3,Bag,11375.0
5,3,12,Bag,11349.0
2,3,7,Bag,11318.0
5,3,7,Bag,11073.0
34,4,8,Bag,11058.0
30,2,7,Bag,11052.0
5,5,7,Bag,11013.0
27,3,6,Bag,10990.913793103447
34,2,2,Bag,10946.0
5,2,10,Bag,10905.0
26,5,3,Bag,10843.0
8,4,12,Bag,10747.0
17,4,6,Bag,10731.0
5,1,7,Bag,10666.0
17,1,6,Bag,10650.0
1,1,12,Bag,10626.0
5,2,6,Bag,10533.0
31,4,4,Bag,10526.42307692307
27,2,10,Bag,10446.0
15,4,11,Bag,10394.0
26,5,7,Bag,10377.0
1,5,5,Bag,10353.0
1,5,4,Bag,10295.0
1,3,12,Bag,10264.0
2,4,11,Bag,10235.0
1,4,8,Bag,10206.0
29,4,8,Bag,10198.0
26,3,10,Bag,10140.0
1,4,7,Bag,10040.0
27,2,2,Bag,10018.0
34,1,11,Bag,9994.0
1,3,11,Bag,9969.0
31,5,6,Bag,9946.0
8,3,10,Bag,9891.0
5,5,8,Bag,9856.0
2,5,11,Bag,9812.0
40,5,8,Bag,9767.0
11,2,11,Bag,9757.0
27,3,11,Bag,9742.0
17,1,12,Bag,9732.0
26,3,8,Bag,9661.0
5,1,10,Bag,9652.0
29,5,12,Bag,9622.0
2,1,2,Bag,9551.0
27,2,8,Bag,9518.0
29,5,7,Bag,9453.0
2,4,3,Bag,9395.0
27,4,6,Bag,9391.0
34,3,5,Bag,9390.0
30,5,2,Bag,9354.0
15,5,11,Bag,9338.0
40,5,10,Bag,9335.0
1,3,8,Bag,9332.0
40,3,11,Bag,9320.0
1,2,1,Bag,9245.37037037038
26,1,6,Bag,9221.0
1,5,10,Bag,9199.0
29,5,5,Bag,9154.0
30,1,9,Bag,9127.0
26,2,4,Bag,9120.0
34,4,11,Bag,9084.0
31,4,6,Bag,9082.0
17,3,7,Bag,9077.0
15,2,11,Bag,9050.0
1,1,11,Bag,9024.0
34,3,4,Bag,9016.0
5,5,10,Bag,8992.0
31,4,9,Bag,8983.0
31,5,8,Bag,8881.0
11,5,9,Bag,8823.500000000007
2,5,4,Bag,8815.0
27,2,5,Bag,8804.0
31,2,11,Bag,8758.0
15,4,12,Bag,8649.0
31,4,11,Bag,8646.0
5,3,9,Bag,8626.0
5,2,7,Bag,8626.0
5,1,3,Bag,8626.0
34,1,5,Bag,8619.0
29,2,6,Bag,8608.0
27,5,10,Bag,8438.0
2,2,11,Bag,8431.0
17,5,9,Bag,8418.0
1,4,6,Bag,8329.0
31,1,3,Bag,8326.923076923076
31,2,5,Bag,8303.0
17,2,12,Bag,8220.0
2,1,12,Bag,8215.0
5,1,2,Bag,8213.546052631587
5,2,9,Bag,8192.0
26,4,10,Bag,8191.0
30,3,8,Bag,8184.0
26,2,8,Bag,8151.0
2,5,7,Bag,8121.0
29,1,8,Bag,8107.0
29,1,9,Bag,8092.0
2,1,9,Bag,8088.0
17,1,7,Bag,8085.0
1,3,4,Bag,8076.0
40,1,8,Bag,8058.0
1,1,8,Bag,8010.0
35,4,12,Bag,8002.0
40,4,12,Bag,7984.0
31,5,12,Bag,7956.0
34,2,7,Bag,7955.0
5,4,1,Bag,7952.0
1,4,10,Bag,7925.0
29,4,12,Bag,7898.0
17,5,8,Bag,7870.0
34,1,3,Bag,7833.0
31,3,12,Bag,7817.0
26,3,11,Bag,7810.0
34,2,5,Bag,7789.0
34,3,3,Bag,7764.0
27,2,3,Bag,7751.0
26,3,12,Bag,7750.0
31,4,12,Bag,7722.0
27,4,8,Bag,7634.0
27,4,11,Bag,7593.0
30,1,8,Bag,7573.0
26,1,9,Bag,7567.0
14,3,11,Bag,7567.0
17,3,2,Bag,7549.0
26,2,10,Bag,7543.0
31,2,8,Bag,7517.0
34,3,12,Bag,7499.0
30,3,10,Bag,7493.0
29,2,8,Bag,7460.0
2,4,5,Bag,7449.0
30,2,11,Bag,7435.0
34,3,10,Bag,7431.0
30,2,10,Bag,7395.0
15,2,9,Bag,7334.5
1,2,12,Bag,7331.0
34,5,6,Bag,7323.0
1,1,7,Bag,7305.0
31,1,12,Bag,7295.0
30,4,11,Bag,7288.0
2,5,10,Bag,7270.0
40,5,9,Bag,7235.0
26,5,8,Bag,7220.0
29,2,9,Bag,7211.0
30,5,3,Bag,7178.0
34,4,5,Bag,7110.0
2,1,4,Bag,7101.0
26,3,6,Bag,7097.0
14,4,12,Bag,7094.0
34,1,2,Bag,7081.0
29,2,3,Bag,7070.0
34,3,1,Bag,7057.0
26,4,9,Bag,7056.0
26,1,10,Bag,7031.0
2,2,10,Bag,7022.0
34,1,9,Bag,7017.0
5,4,12,Bag,6985.0
29,1,12,Bag,6945.0
11,2,8,Bag,6937.888888888898
1,2,3,Bag,6901.0
27,3,7,Bag,6866.0
34,5,1,Bag,6856.0
2,2,12,Bag,6824.0
5,5,3,Bag,6823.0
30,5,9,Bag,6820.0
5,2,8,Bag,6797.0
40,1,11,Bag,6748.0
29,3,4,Bag,6742.0
27,5,11,Bag,6729.0
1,3,10,Bag,6721.0
17,2,8,Bag,6717.0
31,3,2,Bag,6713.0
27,4,4,Bag,6677.0
11,2,12,Bag,6651.0
30,4,12,Bag,6647.0
34,1,12,Bag,6591.0
29,2,5,Bag,6574.0
29,3,7,Bag,6527.0
2,5,5,Bag,6480.0
1,2,4,Bag,6473.0
11,2,10,Bag,6453.0
5,4,7,Bag,6416.0
27,3,10,Bag,6400.0
17,3,6,Bag,6397.0
11,5,12,Bag,6390.0
30,5,12,Bag,6384.0
8,3,11,Bag,6370.0
40,5,11,Bag,6368.0
27,2,11,Bag,6367.0
31,3,11,Bag,6340.0
29,2,4,Bag,6305.0
26,1,8,Bag,6299.0
31,3,6,Bag,6288.0
27,5,5,Bag,6275.0
2,3,12,Bag,6260.0
40,3,9,Bag,6249.0
27,2,9,Bag,6246.0
17,2,6,Bag,6239.000000000007
27,4,12,Bag,6226.0
29,5,4,Bag,6221.0
27,3,12,Bag,6211.0
1,3,7,Bag,6210.0
34,1,7,Bag,6199.0
29,4,10,Bag,6185.0
17,3,3,Bag,6185.0
29,5,10,Bag,6175.0
27,2,6,Bag,6164.0
31,3,7,Bag,6134.0
29,3,3,Bag,6086.0
31,1,9,Bag,6073.0
26,5,12,Bag,6070.0
34,4,10,Bag,6060.0
26,1,3,Bag,6060.0
31,2,10,Bag,6051.0
27,4,2,Bag,6049.0
34,4,6,Bag,6021.0
2,2,7,Bag,5993.0
29,3,5,Bag,5991.0
40,3,8,Bag,5982.0
2,1,11,Bag,5964.0
26,4,11,Bag,5950.0
30,3,7,Bag,5940.364864864852
31,2,2,Bag,5934.0
26,4,4,Bag,5931.0
30,2,6,Bag,5919.0
34,5,2,Bag,5915.0
1,5,12,Bag,5899.0
5,4,9,Bag,5894.0
29,2,2,Bag,5865.0
31,2,9,Bag,5816.0
34,3,7,Bag,5791.0
11,1,12,Bag,5779.0
27,4,10,Bag,5774.0
34,5,12,Bag,5757.0
29,3,9,Bag,5745.0
34,5,3,Bag,5743.0
17,3,12,Bag,5742.0
17,1,10,Bag,5725.0
31,2,1,Bag,5722.0
34,3,8,Bag,5711.0
17,3,1,Bag,5683.0
2,4,7,Bag,5663.0
1,5,1,Bag,5661.0
5,1,5,Bag,5649.0
11,5,10,Bag,5627.0
29,5,8,Bag,5613.0
31,4,10,Bag,5571.0
26,2,5,Bag,5567.0
26,2,9,Bag,5566.0
30,2,12,Bag,5540.0
1,2,9,Bag,5526.0
29,3,2,Bag,5516.369642857146
17,4,7,Bag,5488.0
34,5,7,Bag,5485.0
17,4,10,Bag,5480.0
29,2,11,Bag,5460.0
34,2,11,Bag,5458.0
1,2,6,Bag,5428.0
34,4,2,Bag,5421.0
30,2,9,Bag,5395.0
34,2,9,Bag,5341.0
29,2,7,Bag,5309.0
27,4,3,Bag,5292.0
31,4,8,Bag,5287.0
5,1,9,Bag,5260.0
29,1,6,Bag,5245.0
14,3,10,Bag,5241.0
14,4,11,Bag,5215.0
5,3,4,Bag,5204.0
5,2,11,Bag,5192.0
1,2,8,Bag,5142.0
26,4,7,Bag,5141.0
40,4,11,Bag,5126.0
26,5,9,Bag,5122.0
34,1,8,Bag,5117.0
26,1,11,Bag,5116.0
26,1,2,Bag,5083.0
29,4,11,Bag,5074.0
11,1,10,Bag,5072.0
26,1,4,Bag,5071.0
29,4,4,Bag,5055.5
2,4,2,Bag,5054.0
17,4,8,Bag,5029.0
17,5,11,Bag,5023.0
27,3,8,Bag,5015.0
34,4,1,Bag,4910.0
2,4,12,Bag,4793.0
11,1,9,Bag,4792.0
1,4,9,Bag,4760.0
11,1,11,Bag,4734.0
34,3,2,Bag,4699.0
2,2,4,Bag,4681.0
1,2,11,Bag,4656.0
29,1,4,Bag,4654.0
26,4,6,Bag,4631.0
40,3,10,Bag,4616.0
30,5,7,Bag,4614.0
30,5,5,Bag,4560.0
5,3,10,Bag,4539.0
5,3,11,Bag,4481.0
27,5,4,Bag,4480.620689655174
29,3,10,Bag,4450.0
17,2,10,Bag,4436.0
15,2,10,Bag,4425.0
34,4,3,Bag,4415.0
2,3,6,Bag,4402.0
2,1,7,Bag,4350.0
31,5,10,Bag,4341.0
17,3,4,Bag,4322.0
5,4,11,Bag,4320.0
2,3,9,Bag,4318.0
30,1,10,Bag,4295.0
1,2,2,Bag,4294.0
34,5,9,Bag,4274.0
27,1,11,Bag,4272.0
5,1,6,Bag,4270.0
14,4,8,Bag,4260.630000000001
30,5,1,Bag,4238.0
29,2,10,Bag,4211.0
31,3,9,Bag,4193.0
31,5,9,Bag,4185.0
29,4,6,Bag,4175.0
1,1,9,Bag,4174.0
14,4,10,Bag,4156.0
1,4,12,Bag,4141.0
31,3,4,Bag,4131.0
31,1,6,Bag,4122.0
27,1,8,Bag,4122.0
5,1,12,Bag,4087.0
34,1,10,Bag,4078.0
5,5,5,Bag,4066.0
29,4,9,Bag,4063.0
17,1,8,Bag,4061.0
2,1,3,Bag,4051.0
2,5,3,Bag,4044.0
31,1,11,Bag,4043.0
5,5,12,Bag,4043.0
31,1,7,Bag,4039.0
35,5,12,Bag,4035.0
5,2,5,Bag,4031.0
1,1,10,Bag,4023.0
2,4,4,Bag,4011.0
31,5,11,Bag,3997.0
1,5,11,Bag,3994.0
2,1,6,Bag,3989.0
34,5,10,Bag,3988.0
30,5,11,Bag,3979.0
40,4,8,Bag,3969.0
1,3,6,Bag,3966.0
8,4,10,Bag,3946.0
1,5,6,Bag,3941.0
31,2,7,Bag,3900.0
30,1,12,Bag,3899.0
5,5,1,Bag,3884.0
1,5,9,Bag,3872.0
2,1,10,Bag,3845.0
5,5,4,Bag,3784.0
29,1,2,Bag,3780.850000000006
40,4,9,Bag,3766.0
34,1,4,Bag,3739.0
31,5,7,Bag,3721.0
5,4,5,Bag,3680.0
35,4,11,Bag,3661.0
27,2,12,Bag,3652.0
26,1,1,Bag,3644.0
34,5,11,Bag,3616.0
31,2,4,Bag,3611.0
27,2,4,Bag,3608.0
